date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-20,bef,24,9.519283763757942,5,2,0.14127305473305385,0.39663682348991425,0.00588637728054391,45,optical,log_reg,2023-08-23,-125
2023-04-30,bef,24,9.760721015251319,6,2,0.10854655719222184,0.40669670896880494,0.0045227732163425766,45,optical,log_reg,2023-08-23,-115
2023-05-15,bef,24,10.713701945681162,7,2,0.12741460223870213,0.4464042477367151,0.005308941759945922,45,optical,log_reg,2023-08-23,-100
2023-05-25,bef,24,16.618665624295463,18,2,0.1493959243890622,0.692444401012311,0.006224830182877592,45,optical,log_reg,2023-08-23,-90
2023-06-04,bef,24,13.293768642125775,13,2,0.1652906895195038,0.5539070267552406,0.006887112063312658,45,optical,log_reg,2023-08-23,-80
2023-06-09,bef,24,10.709379978214411,6,2,0.3526257628104489,0.4462241657589338,0.014692740117102037,45,optical,log_reg,2023-08-23,-75
2023-06-24,bef,24,15.73248618901136,18,2,0.08631644431025143,0.6555202578754733,0.003596518512927143,45,optical,log_reg,2023-08-23,-60
2023-06-29,bef,24,9.65744383988211,3,2,0.3096836170074589,0.4023934933284212,0.012903484041977454,45,optical,log_reg,2023-08-23,-55
2023-07-04,bef,24,6.491550120250222,1,2,0.10725390078210673,0.2704812550104259,0.0044689125325877805,45,optical,log_reg,2023-08-23,-50
2023-07-09,bef,24,3.521528572365237,0,2,0.16982074910588113,0.14673035718188487,0.007075864546078381,45,optical,log_reg,2023-08-23,-45
2023-07-19,bef,24,3.7789666612922304,0,2,0.31198894045599596,0.1574569442205096,0.012999539185666499,45,optical,log_reg,2023-08-23,-35
2023-07-24,bef,24,3.2016157713029276,0,2,0.22123927355553846,0.13340065713762198,0.009218303064814103,45,optical,log_reg,2023-08-23,-30
2023-07-29,bef,24,3.9281973348604105,0,2,0.3813135048537023,0.1636748889525171,0.015888062702237596,45,optical,log_reg,2023-08-23,-25
2023-08-08,bef,24,2.459321061173479,0,2,0.19414464771705214,0.10247171088222828,0.008089360321543839,45,optical,log_reg,2023-08-23,-15
2023-08-18,evt,24,9.432848104835688,6,2,5.506887583776235,0.393035337701487,0.2294536493240098,45,optical,log_reg,2023-08-23,-5
2023-08-23,evt,24,17.120918807320184,17,2,14.559661569494018,0.7133716169716743,0.6066525653955841,45,optical,log_reg,2023-08-23,0
