date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-03-01,bef,8,4.923,0,1,0.201,0.615375,0.025125,200,joint,rf,2023-07-25,-146
2023-05-15,bef,8,3.664,0,1,0.424,0.458,0.053,200,joint,rf,2023-07-25,-71
2023-06-04,bef,8,3.5490000000000004,0,1,0.345,0.44362500000000005,0.043125,200,joint,rf,2023-07-25,-51
2023-06-09,bef,8,3.777,0,1,0.28800000000000003,0.472125,0.036000000000000004,200,joint,rf,2023-07-25,-46
2023-06-29,bef,8,3.969,0,1,0.23600000000000002,0.496125,0.029500000000000002,200,joint,rf,2023-07-25,-26
2023-07-09,bef,8,3.658,0,1,0.272,0.45725,0.034,200,joint,rf,2023-07-25,-16
2023-07-19,evt,8,7.118,8,1,4.551,0.88975,0.568875,200,joint,rf,2023-07-25,-6
