date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,40,27.17,14,1,9.881,0.67925,0.247025,205,joint,rf,2023-07-26,-87
2023-05-15,bef,40,27.799999999999997,11,1,9.619,0.695,0.240475,205,joint,rf,2023-07-26,-72
2023-06-04,bef,40,27.590000000000003,12,1,10.354,0.6897500000000001,0.25884999999999997,205,joint,rf,2023-07-26,-52
2023-06-14,bef,40,28.116,13,1,10.262,0.7029,0.25655,205,joint,rf,2023-07-26,-42
2023-06-26,bef,40,28.678000000000004,20,1,11.938,0.7169500000000001,0.29845,205,joint,rf,2023-07-26,-30
2023-07-09,bef,40,27.907,20,1,13.341,0.697675,0.33352499999999996,205,joint,rf,2023-07-26,-17
2023-07-20,evt,40,29.282000000000004,26,1,15.924999999999999,0.7320500000000001,0.39812499999999995,205,joint,rf,2023-07-26,-6
2023-08-01,evt,40,30.139000000000003,26,1,17.173000000000002,0.7534750000000001,0.42932500000000007,205,joint,rf,2023-07-26,6
2023-08-13,aft,40,29.613,29,1,16.276000000000003,0.740325,0.4069000000000001,205,joint,rf,2023-07-26,18
