date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-02-14,bef,20230214T142711_20230214T143425_T20LMR,11,8.9485,9,1,3.7785,0.8134999999999999,0.3435,295,optical,rf,2023-05-29,-104
2023-04-30,bef,20230430T142719_20230430T142714_T20LMR,11,9.886,11,1,5.537999999999999,0.8987272727272727,0.5034545454545454,295,optical,rf,2023-05-29,-29
2023-05-15,bef,20230515T142711_20230515T142713_T20LMR,11,9.915,11,1,6.0760000000000005,0.9013636363636363,0.5523636363636364,295,optical,rf,2023-05-29,-14
2023-05-20,bef,20230520T142719_20230520T142902_T20LMR,11,9.757,11,1,5.414,0.887,0.49218181818181816,295,optical,rf,2023-05-29,-9
2023-06-04,evt,20230604T142721_20230604T142716_T20LMR,11,10.131,11,1,7.5169999999999995,0.921,0.6833636363636363,295,optical,rf,2023-05-29,6
2023-06-09,aft,20230609T142719_20230609T142938_T20LMR,11,10.038999999999998,11,1,7.285,0.9126363636363635,0.6622727272727272,295,optical,rf,2023-05-29,11
2023-06-24,aft,20230624T142721_20230624T142715_T20LMR,11,9.494000000000002,11,1,5.497000000000001,0.8630909090909092,0.4997272727272728,295,optical,rf,2023-05-29,26
