date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-03-01,bef,20230301T142709_20230301T142737_T20LNR,21,14.447166666666666,4,1,4.738,0.6879603174603174,0.22561904761904764,24,optical,rf,2023-10-18,-231
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,21,13.084333333333333,4,1,4.268000000000001,0.6230634920634921,0.20323809523809527,24,optical,rf,2023-10-18,-171
2023-05-15,bef,20230515T142711_20230515T142713_T20LNR,21,13.4215,3,1,4.738,0.6391190476190476,0.22561904761904764,24,optical,rf,2023-10-18,-156
2023-06-04,bef,20230604T142721_20230604T142716_T20LNR,21,13.218,4,1,4.616,0.6294285714285714,0.2198095238095238,24,optical,rf,2023-10-18,-136
2023-06-09,bef,20230609T142719_20230609T142938_T20LNR,21,12.338366666666666,1,1,4.2090000000000005,0.5875412698412698,0.20042857142857146,24,optical,rf,2023-10-18,-131
2023-06-19,bef,20230619T142719_20230619T142934_T20LNR,21,11.928666666666665,2,1,4.5649999999999995,0.5680317460317459,0.21738095238095237,24,optical,rf,2023-10-18,-121
2023-06-24,bef,20230624T142721_20230624T142715_T20LNR,21,12.581166666666665,7,1,5.332999999999999,0.5991031746031745,0.25395238095238093,24,optical,rf,2023-10-18,-116
2023-06-29,bef,20230629T142719_20230629T143340_T20LNR,21,12.7765,7,1,4.769,0.6084047619047619,0.2270952380952381,24,optical,rf,2023-10-18,-111
2023-07-04,bef,20230704T142721_20230704T142729_T20LNR,21,12.948500000000001,9,1,5.459999999999999,0.6165952380952382,0.25999999999999995,24,optical,rf,2023-10-18,-106
2023-07-09,bef,20230709T142719_20230709T142938_T20LNR,21,13.119166666666667,10,1,5.058,0.6247222222222222,0.24085714285714285,24,optical,rf,2023-10-18,-101
2023-07-14,bef,20230714T142721_20230714T142941_T20LNR,21,14.190166666666666,12,1,5.795999999999999,0.6757222222222222,0.27599999999999997,24,optical,rf,2023-10-18,-96
2023-07-19,bef,20230719T142719_20230719T142939_T20LNR,21,14.067533333333333,12,1,5.015999999999999,0.6698825396825396,0.23885714285714282,24,optical,rf,2023-10-18,-91
2023-07-24,bef,20230724T142721_20230724T142717_T20LNR,21,14.6202,13,1,5.972000000000001,0.6962,0.28438095238095246,24,optical,rf,2023-10-18,-86
2023-08-03,bef,20230803T142721_20230803T143434_T20LNR,21,15.204,13,1,6.036999999999999,0.724,0.28747619047619044,24,optical,rf,2023-10-18,-76
2023-08-23,bef,20230823T142721_20230823T143116_T20LNR,21,14.480999999999998,12,1,4.158,0.6895714285714285,0.198,24,optical,rf,2023-10-18,-56
2023-08-28,bef,20230828T142719_20230828T142716_T20LNR,21,14.069166666666668,12,1,5.221000000000001,0.6699603174603175,0.24861904761904766,24,optical,rf,2023-10-18,-51
2023-09-22,bef,20230922T142711_20230922T142743_T20LNR,21,15.918,17,1,7.02,0.758,0.33428571428571424,24,optical,rf,2023-10-18,-26
2023-10-12,evt,20231012T142711_20231012T143437_T20LNR,21,19.241000000000007,21,1,16.663,0.9162380952380955,0.7934761904761904,24,optical,rf,2023-10-18,-6
2023-11-11,aft,20231111T142711_20231111T142711_T20LNR,21,19.0315,21,1,16.458,0.9062619047619048,0.7837142857142856,24,optical,rf,2023-10-18,24
