date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-03-26,bef,20230326T142711_20230326T142710_T20LNR,12,10.714,12,1,6.854,0.8928333333333334,0.5711666666666667,164,joint,rf,2023-05-15,-50
2023-04-20,bef,20230420T142719_20230420T142714_T20LNR,12,11.306999999999999,12,1,8.956000000000001,0.9422499999999999,0.7463333333333334,164,joint,rf,2023-05-15,-25
2023-05-15,evt,20230515T142711_20230515T142713_T20LNR,12,11.384999999999998,12,1,9.177000000000001,0.9487499999999999,0.7647500000000002,164,joint,rf,2023-05-15,0
2023-06-09,aft,20230609T142719_20230609T142938_T20LNR,12,11.336,12,1,9.504999999999999,0.9446666666666667,0.7920833333333333,164,joint,rf,2023-05-15,25
