system:index,AREAMUNKM,AREAUCKM,CLASSNAME,GEOCODIBGE,MUNICIPALI,PATH_ROW,QUADRANT,SATELLITE,SENSOR,UC,UF,VIEW_DATE,aftDatS1,aftDatS2,aftFndS1,aftFndS2,aftIdsS1,aftIdsS2,area_kha,area_km2,area_m2,befDatS1,befDatS2,befFndS1,befFndS2,befIdsS1,befIdsS2,evtDatS1,evtDatS2,evtFndS1,evtFndS2,evtIdsS1,evtIdsS2,fid,id,month,year,.geo
0000000000000000015f,0.4325773526,0.0,Clear-cut bare soil,1100205,Porto Velho,175111,,CBERS-4,AWFI,,RO,1676361600000,"2023-02-57,2023-03-69",,2,0,"S1A_IW_GRDH_1SDV_20230226T094935_20230226T095000_047405_05B0D3_E8BA,S1A_IW_GRDH_1SDV_20230310T094935_20230310T095000_047580_05B6BD_B228",,43.43875854503752,0.434387585450375,434387.5854503752,"2023-01-21,2023-01-09",,2,0,"S1A_IW_GRDH_1SDV_20230121T094935_20230121T095000_046880_059F24_7A3A,S1A_IW_GRDH_1SDV_20230109T094936_20230109T095001_046705_05993A_763B",,2023-02-45,2023-02-45,1,1,S1A_IW_GRDH_1SDV_20230214T094935_20230214T095000_047230_05AAD4_443E,20230214T142711_20230214T143425_T20LNR,140,518258_hist,2.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.61206609401043,-8.679475174583512],[-62.61206609401043,-8.67990772297716],[-62.61206609401043,-8.680121756014655],[-62.61185210790199,-8.680554337518698],[-62.61163803238006,-8.68098683726449],[-62.61144627900106,-8.681365882555953],[-62.610799751454515,-8.681138426412648],[-62.61061687383199,-8.681138426126585],[-62.60844978695468,-8.67951533370946],[-62.60826700116269,-8.679515341080654],[-62.605408698127675,-8.678422880791976],[-62.6044722846041,-8.678066104067215],[-62.60357155331096,-8.678066167680607],[-62.60357155331096,-8.67788779815175],[-62.60393272383203,-8.675899034853856],[-62.60374994224183,-8.675899044305048],[-62.603495715653736,-8.67581426765137],[-62.6044722846041,-8.675814274079816],[-62.60487361694526,-8.674815456945733],[-62.6053106281889,-8.675087474118097],[-62.60655909622891,-8.675805377748965],[-62.60799053685469,-8.676162073215934],[-62.60837842965617,-8.674124277226296],[-62.61163803238006,-8.67559132082508],[-62.61163803238006,-8.675760803052173],[-62.61163803238006,-8.675930209696824],[-62.61180746399251,-8.676099634607615],[-62.61214641730182,-8.676099676928562],[-62.6123158493522,-8.676099694475914],[-62.61236040373043,-8.676099640523997],[-62.61206609401043,-8.679475174583512]]]}"
0000000000000000011e,0.0974341141,0.0,Clear-cut bare soil,1100809,Candeias do Jamari,172111,,CBERS-4,AWFI,,RO,1677139200000,"2023-03-69,2023-03-81",,2,0,"S1A_IW_GRDH_1SDV_20230310T094935_20230310T095000_047580_05B6BD_B228,S1A_IW_GRDH_1SDV_20230322T094935_20230322T095000_047755_05BCAD_A5E4",,9.784066620452082,0.097840666204521,97840.66620452082,"2023-02-45,2023-01-21,2023-01-09",,3,0,"S1A_IW_GRDH_1SDV_20230214T094935_20230214T095000_047230_05AAD4_443E,S1A_IW_GRDH_1SDV_20230121T094935_20230121T095000_046880_059F24_7A3A,S1A_IW_GRDH_1SDV_20230109T094936_20230109T095001_046705_05993A_763B",,2023-02-57,2023-02-54,1,1,S1A_IW_GRDH_1SDV_20230226T094935_20230226T095000_047405_05B0D3_E8BA,20230301T142709_20230301T142737_T20LNR,90,505441_hist,2.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.84221374728702,-8.851685711322206],[-62.842084418467465,-8.851685698801107],[-62.841914971810155,-8.851685686384604],[-62.8415760789161,-8.851685661245948],[-62.841406632679366,-8.851685724849078],[-62.841237186582845,-8.851855154116409],[-62.841067740626514,-8.85202458326744],[-62.840898294810394,-8.85219401230215],[-62.840898294810394,-8.852363455201713],[-62.840898294810394,-8.852532898512544],[-62.840898294810394,-8.852702342234632],[-62.840898294810394,-8.852800497659963],[-62.840153560571316,-8.850758186782],[-62.840153560571316,-8.846843127626485],[-62.84239207938794,-8.84935805971397],[-62.84221374728702,-8.851685711322206]]]}"
0000000000000000011f,0.5916829066,0.0,Clear-cut bare soil,1100809,Candeias do Jamari,172111,,CBERS-4,AWFI,,RO,1677139200000,"2023-03-69,2023-03-81",,2,0,"S1A_IW_GRDH_1SDV_20230310T094935_20230310T095000_047580_05B6BD_B228,S1A_IW_GRDH_1SDV_20230322T094935_20230322T095000_047755_05BCAD_A5E4",,59.416013375407985,0.59416013375408,594160.1337540798,"2023-02-45,2023-01-21,2023-01-09",,3,0,"S1A_IW_GRDH_1SDV_20230214T094935_20230214T095000_047230_05AAD4_443E,S1A_IW_GRDH_1SDV_20230121T094935_20230121T095000_046880_059F24_7A3A,S1A_IW_GRDH_1SDV_20230109T094936_20230109T095001_046705_05993A_763B",,2023-02-57,2023-02-54,1,0,S1A_IW_GRDH_1SDV_20230226T094935_20230226T095000_047405_05B0D3_E8BA,,267,543875_hist,2.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.964852330899504,-8.650566838138097],[-62.9539498673497,-8.651124275767856],[-62.95450724345099,-8.646094355658004],[-62.95808788379406,-8.64609441841003],[-62.958301966254496,-8.646629495753677],[-62.95848479859635,-8.64662950467159],[-62.95848479859635,-8.646807808187308],[-62.95866314110341,-8.646807857412115],[-62.959207149549115,-8.646807847879147],[-62.95938549267199,-8.646807820491263],[-62.95975115940941,-8.646629455966723],[-62.96011233676021,-8.646263838374903],[-62.96011233676021,-8.646094369353214],[-62.962306174787365,-8.646094356462578],[-62.96228390402792,-8.64662949420108],[-62.96511096239228,-8.646468948398416],[-62.964852330899504,-8.650566838138097]]]}"
00000000000000000123,0.1483441655,0.0,Clear-cut bare soil,1100940,Cujubim,172111,,CBERS-4,AWFI,,RO,1677139200000,"2023-03-69,2023-03-81",,2,0,"S1A_IW_GRDH_1SDV_20230310T094935_20230310T095000_047580_05B6BD_B228,S1A_IW_GRDH_1SDV_20230322T094935_20230322T095000_047755_05BCAD_A5E4",,14.896303143611785,0.148963031436118,148963.03143611786,"2023-02-45,2023-01-21,2023-01-09",,3,0,"S1A_IW_GRDH_1SDV_20230214T094935_20230214T095000_047230_05AAD4_443E,S1A_IW_GRDH_1SDV_20230121T094935_20230121T095000_046880_059F24_7A3A,S1A_IW_GRDH_1SDV_20230109T094936_20230109T095001_046705_05993A_763B",,2023-02-57,2023-02-54,1,1,S1A_IW_GRDH_1SDV_20230226T094935_20230226T095000_047405_05B0D3_E8BA,20230301T142709_20230301T142737_T20LNR,141,518329_hist,2.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.446655764554826,-8.86353795107982],[-62.44643730324287,-8.86358255435431],[-62.44643730324287,-8.863346222943559],[-62.446432824743795,-8.863319455989458],[-62.44641500031853,-8.86328827999812],[-62.44639269739681,-8.863270448625505],[-62.44636143748277,-8.863261496027297],[-62.44634809156114,-8.863261501530422],[-62.44634809156114,-8.863257086982191],[-62.44624553400658,-8.86325708481176],[-62.44624553400658,-8.862967247722784],[-62.446241055512004,-8.862935990325905],[-62.44622770959879,-8.862909280381277],[-62.446200928205265,-8.862891397910934],[-62.44617414681548,-8.862878006080361],[-62.44615632241433,-8.862878036456532],[-62.44581300148423,-8.86287801509876],[-62.445648014186354,-8.862713066821158],[-62.44562571135407,-8.862695235734527],[-62.44559454113501,-8.862686290426383],[-62.44558558417644,-8.862686263995867],[-62.445295737223866,-8.862686303625235],[-62.445295737223866,-8.862588195750492],[-62.44529125875153,-8.862557014856542],[-62.445273434432686,-8.862530253970608],[-62.44526895596087,-8.862525788233857],[-62.44526895596087,-8.862521297656672],[-62.44507727746563,-8.862334061517629],[-62.44505497469993,-8.862316230623025],[-62.445023715004595,-8.862307278313418],[-62.445014847642085,-8.862307259004746],[-62.44493459355164,-8.86230727797611],[-62.44654872833348,-8.858267325657575],[-62.44950071074361,-8.857379969619043],[-62.446655764554826,-8.86353795107982]]]}"
00000000000000000124,0.1860158554,0.0,Clear-cut bare soil,1100205,Porto Velho,172111,,CBERS-4,AWFI,,RO,1677139200000,"2023-03-69,2023-03-81",,2,0,"S1A_IW_GRDH_1SDV_20230310T094935_20230310T095000_047580_05B6BD_B228,S1A_IW_GRDH_1SDV_20230322T094935_20230322T095000_047755_05BCAD_A5E4",,18.679468592114407,0.186794685921144,186794.68592114406,"2023-02-45,2023-01-21,2023-01-09",2023-02-45,3,1,"S1A_IW_GRDH_1SDV_20230214T094935_20230214T095000_047230_05AAD4_443E,S1A_IW_GRDH_1SDV_20230121T094935_20230121T095000_046880_059F24_7A3A,S1A_IW_GRDH_1SDV_20230109T094936_20230109T095001_046705_05993A_763B",20230214T142711_20230214T143425_T20LNR,2023-02-57,2023-02-54,1,0,S1A_IW_GRDH_1SDV_20230226T094935_20230226T095000_047405_05B0D3_E8BA,,91,505446_hist,2.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.58726462145162,-8.649126535586932],[-62.58057597888937,-8.645425485005731],[-62.58342083351616,-8.64443110773179],[-62.58882974767889,-8.647561408110287],[-62.58726462145162,-8.649126535586932]]]}"
00000000000000000125,0.9238274026,0.0,Clear-cut bare soil,1100205,Porto Velho,172111,,CBERS-4,AWFI,,RO,1677139200000,"2023-03-69,2023-03-81",,2,0,"S1A_IW_GRDH_1SDV_20230310T094910_20230310T094935_047580_05B6BD_2426,S1A_IW_GRDH_1SDV_20230322T094910_20230322T094935_047755_05BCAD_F524",,92.77083991038815,0.927708399103881,927708.3991038814,"2023-02-45,2023-01-21,2023-01-09",,3,0,"S1A_IW_GRDH_1SDV_20230214T094910_20230214T094935_047230_05AAD4_E27D,S1A_IW_GRDH_1SDV_20230121T094910_20230121T094935_046880_059F24_ED7C,S1A_IW_GRDH_1SDV_20230109T094911_20230109T094936_046705_05993A_671C",,2023-02-57,2023-02-54,1,0,S1A_IW_GRDH_1SDV_20230226T094910_20230226T094935_047405_05B0D3_9DE4,,268,543879_hist,2.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.74600862289121,-8.445675658973322],[-62.74572317582349,-8.446625409167956],[-62.74572317582351,-8.447668869900347],[-62.745437818867096,-8.449184975579136],[-62.741888428378836,-8.447566273522417],[-62.741888428378836,-8.447454817956043],[-62.741710005139936,-8.447454804591674],[-62.741710005139936,-8.44727647630799],[-62.74152718652033,-8.447276437282662],[-62.74134436806684,-8.447276473963413],[-62.74134436806684,-8.447093597480757],[-62.74116603501517,-8.447093590985132],[-62.74098321688988,-8.446915225517596],[-62.74080479445381,-8.446915288144671],[-62.74062197665681,-8.446915249052168],[-62.740461495420426,-8.446915289865812],[-62.74008249468571,-8.446741344722648],[-62.74008249468571,-8.44673247399145],[-62.74006464354446,-8.446732426484486],[-62.739899587841045,-8.446656609921563],[-62.739899587841045,-8.446554104035329],[-62.7397167708668,-8.446554064875688],[-62.73971677086679,-8.446371268404604],[-62.739538439258105,-8.446371261887936],[-62.739538439258105,-8.44618839034062],[-62.738633238344896,-8.446010083921255],[-62.73848163934346,-8.446010031408205],[-62.735378101005914,-8.444592101602277],[-62.7353781010059,-8.444565339574439],[-62.735378101005914,-8.444382478638076],[-62.73501696054519,-8.444021338207001],[-62.73483854340359,-8.443838466550893],[-62.73402701202906,-8.443976722732383],[-62.72798041265722,-8.441216554888802],[-62.727958167349016,-8.441185325714693],[-62.7283282650152,-8.441310136096812],[-62.729050612231916,-8.440944546987954],[-62.729050612231916,-8.440766177078032],[-62.729229024232104,-8.440766189169903],[-62.729929039463705,-8.440369283906156],[-62.73153440139638,-8.440489732745945],[-62.73270705836128,-8.438144203020046],[-62.74733745518639,-8.44510484513837],[-62.74600862289121,-8.445675658973322]]]}"
00000000000000000126,0.1383137194,0.0,Clear-cut bare soil,1100205,Porto Velho,172111,,CBERS-4,AWFI,,RO,1677139200000,"2023-03-69,2023-03-81",,2,0,"S1A_IW_GRDH_1SDV_20230310T094935_20230310T095000_047580_05B6BD_B228,S1A_IW_GRDH_1SDV_20230322T094935_20230322T095000_047755_05BCAD_A5E4",,13.889264704094806,0.138892647040948,138892.64704094807,"2023-02-45,2023-01-21,2023-01-09",,3,0,"S1A_IW_GRDH_1SDV_20230214T094935_20230214T095000_047230_05AAD4_443E,S1A_IW_GRDH_1SDV_20230121T094935_20230121T095000_046880_059F24_7A3A,S1A_IW_GRDH_1SDV_20230109T094936_20230109T095001_046705_05993A_763B",,2023-02-57,2023-02-54,1,0,S1A_IW_GRDH_1SDV_20230226T094935_20230226T095000_047405_05B0D3_E8BA,,269,543890_hist,2.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.65073101965009,-8.667444550409835],[-62.650641803913615,-8.66774781404115],[-62.650641803913615,-8.66764967946819],[-62.64902758884353,-8.667462425389362],[-62.64864858241392,-8.666797981096112],[-62.64798417970713,-8.665562833846138],[-62.64703438359742,-8.664046695912438],[-62.64741338693605,-8.663288677765323],[-62.648269576709964,-8.662245222784707],[-62.64871995428133,-8.662664432039204],[-62.648207171298125,-8.663431379566875],[-62.648207171298125,-8.66360977120178],[-62.648207171298125,-8.663792571803674],[-62.648207171298125,-8.663970888369995],[-62.648207171298125,-8.664153765944258],[-62.6483899941048,-8.664153712056518],[-62.64856833392539,-8.664153768750724],[-62.64965630894025,-8.664332135190758],[-62.64985258263666,-8.663734614929693],[-62.65027167111663,-8.66412695508379],[-62.651399825129516,-8.665183760121378],[-62.65073101965009,-8.667444550409835]]]}"
00000000000000000127,0.1118452265,0.0,Clear-cut bare soil,1100205,Porto Velho,172111,,CBERS-4,AWFI,,RO,1677139200000,"2023-03-69,2023-03-81",,2,0,"S1A_IW_GRDH_1SDV_20230310T094935_20230310T095000_047580_05B6BD_B228,S1A_IW_GRDH_1SDV_20230322T094935_20230322T095000_047755_05BCAD_A5E4",,11.23130575252497,0.11231305752525,112313.05752524968,"2023-02-45,2023-01-21,2023-01-09",,3,0,"S1A_IW_GRDH_1SDV_20230214T094935_20230214T095000_047230_05AAD4_443E,S1A_IW_GRDH_1SDV_20230121T094935_20230121T095000_046880_059F24_7A3A,S1A_IW_GRDH_1SDV_20230109T094936_20230109T095001_046705_05993A_763B",,2023-02-57,2023-02-54,1,0,S1A_IW_GRDH_1SDV_20230226T094935_20230226T095000_047405_05B0D3_E8BA,,270,543891_hist,2.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.628783278482445,-8.706671264375728],[-62.628774402724716,-8.706706926360608],[-62.62386043216689,-8.704035958138604],[-62.62443124652792,-8.702992509090624],[-62.625282854063386,-8.702519881453346],[-62.62575998540114,-8.702898854604015],[-62.62632632261201,-8.703465183256238],[-62.62869855535673,-8.704892114422933],[-62.62869855535673,-8.7049857235034],[-62.62940754111145,-8.705364733952072],[-62.628783278482445,-8.706671264375728]]]}"
00000000000000000135,0.2571831998,0.0,Clear-cut bare soil,1100809,Candeias do Jamari,174111,,CBERS-4,AWFI,,RO,1678863600000,,,0,0,,,25.825987097979365,0.258259870979794,258259.87097979366,"2023-02-57,2023-02-45,2023-01-21,2023-01-09",,4,0,"S1A_IW_GRDH_1SDV_20230226T094935_20230226T095000_047405_05B0D3_E8BA,S1A_IW_GRDH_1SDV_20230214T094935_20230214T095000_047230_05AAD4_443E,S1A_IW_GRDH_1SDV_20230121T094935_20230121T095000_046880_059F24_7A3A,S1A_IW_GRDH_1SDV_20230109T094936_20230109T095001_046705_05993A_763B",,2023-03-69,2023-03-74,1,0,S1A_IW_GRDH_1SDV_20230310T094935_20230310T095000_047580_05B6BD_B228,,92,505711_hist,3.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.976869603148074,-8.652903424040433],[-62.97608926554789,-8.656961239012725],[-62.974216431224136,-8.65774155275702],[-62.974216431224136,-8.658526355749764],[-62.97348962800758,-8.658437199069036],[-62.97398904114198,-8.655703779411406],[-62.97373937932933,-8.655703725261032],[-62.97348962800758,-8.65570374026255],[-62.97249529559706,-8.65545846150583],[-62.973239966789336,-8.653469707630812],[-62.97299470636394,-8.651235708659362],[-62.977400277481195,-8.651454241123828],[-62.976869603148074,-8.652903424040433]]]}"
00000000000000000136,0.2067038102,0.0,Clear-cut bare soil,1100809,Candeias do Jamari,174111,,CBERS-4,AWFI,,RO,1678863600000,,,0,0,,,20.75676781344286,0.207567678134429,207567.6781344286,"2023-02-57,2023-02-45,2023-01-21,2023-01-09",2023-03-60,4,1,"S1A_IW_GRDH_1SDV_20230226T094935_20230226T095000_047405_05B0D3_E8BA,S1A_IW_GRDH_1SDV_20230214T094935_20230214T095000_047230_05AAD4_443E,S1A_IW_GRDH_1SDV_20230121T094935_20230121T095000_046880_059F24_7A3A,S1A_IW_GRDH_1SDV_20230109T094936_20230109T095001_046705_05993A_763B",20230301T142709_20230301T142737_T20LNR,2023-03-69,2023-03-74,1,0,S1A_IW_GRDH_1SDV_20230310T094935_20230310T095000_047580_05B6BD_B228,,217,531306_hist,3.0,2023.0,"{""type"":""Polygon"",""coordinates"":[[[-62.880847401267545,-8.751605632528314],[-62.878863037995224,-8.751605652644736],[-62.87851968566219,-8.761272960247414],[-62.87837256048456,-8.76126405578269],[-62.87817193541154,-8.761460247648676],[-62.87817193541154,-8.765143460273364],[-62.87737814425203,-8.7651791402919],[-62.877980197269196,-8.750000369883042],[-62.88106140412903,-8.750000325076783],[-62.880847401267545,-8.751605632528314]]]}"
