date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,15,9.815999999999999,8,1,0.7150000000000001,0.6544,0.04766666666666667,311,joint,rf,2023-07-06,-67
2023-05-15,bef,20230515T142711_20230515T142713_T20LNR,15,9.367,4,1,0.7450000000000001,0.6244666666666667,0.04966666666666667,311,joint,rf,2023-07-06,-52
2023-05-21,bef,20230520T142719_20230520T142902_T20LNR,15,8.929,1,1,0.721,0.5952666666666667,0.04806666666666667,311,joint,rf,2023-07-06,-46
2023-06-04,bef,20230604T142721_20230604T142716_T20LNR,15,10.257,13,1,0.624,0.6838,0.0416,311,joint,rf,2023-07-06,-32
2023-06-14,bef,20230609T142719_20230609T142938_T20LNR,15,10.796000000000001,10,1,0.5830000000000001,0.7197333333333334,0.038866666666666674,311,joint,rf,2023-07-06,-22
2023-06-26,bef,20230624T142721_20230624T142715_T20LNR,15,10.687,14,1,0.30200000000000005,0.7124666666666666,0.020133333333333336,311,joint,rf,2023-07-06,-10
2023-07-09,evt,20230709T142719_20230709T142938_T20LNR,15,14.274,15,1,12.21,0.9515999999999999,0.8140000000000001,311,joint,rf,2023-07-06,3
2023-07-20,aft,20230719T142719_20230719T142939_T20LNR,15,14.811999999999998,15,1,14.064,0.9874666666666665,0.9376,311,joint,rf,2023-07-06,14
2023-08-01,aft,20230729T142719_20230729T142718_T20LNR,15,14.562999999999999,15,1,12.908000000000001,0.9708666666666665,0.8605333333333334,311,joint,rf,2023-07-06,26
