date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,593,428.147,343,8,168.476,0.7220016863406408,0.2841079258010118,321,joint,rf,2023-07-26,-87
2023-06-14,bef,20230609T142719_20230609T142938_T20LNR,593,441.00300000000004,468,8,183.21599999999998,0.7436812816188871,0.308964586846543,321,joint,rf,2023-07-26,-42
2023-06-26,bef,20230624T142721_20230624T142715_T20LNR,593,454.686,559,8,227.159,0.7667554806070825,0.3830674536256324,321,joint,rf,2023-07-26,-30
2023-07-09,bef,20230709T142719_20230709T142938_T20LNR,593,435.182,529,8,248.39800000000002,0.7338650927487352,0.4188836424957842,321,joint,rf,2023-07-26,-17
2023-07-20,evt,20230719T142719_20230719T142939_T20LNR,593,468.776,551,8,278.798,0.7905160202360877,0.47014839797639124,321,joint,rf,2023-07-26,-6
2023-08-01,evt,20230729T142719_20230729T142718_T20LNR,593,490.583,580,8,237.698,0.8272900505902193,0.40083979763912314,321,joint,rf,2023-07-26,6
2023-08-13,aft,20230808T142719_20230808T143119_T20LNR,593,482.284,577,8,263.581,0.8132951096121417,0.44448735244519394,321,joint,rf,2023-07-26,18
