date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-20,bef,20230420T142719_20230420T142714_T20LNR,10,6.508,2,1,1.5439999999999998,0.6508,0.15439999999999998,120,joint,rf,2023-06-26,-67
2023-05-15,bef,20230515T142711_20230515T142713_T20LNR,10,7.162,4,1,1.201,0.7162,0.12010000000000001,120,joint,rf,2023-06-26,-42
2023-05-21,bef,20230515T142711_20230515T142713_T20LNR,10,7.5600000000000005,7,1,1.3940000000000001,0.756,0.13940000000000002,120,joint,rf,2023-06-26,-36
2023-06-04,bef,20230604T142721_20230604T142716_T20LNR,10,6.746,2,1,1.935,0.6746000000000001,0.1935,120,joint,rf,2023-06-26,-22
2023-06-14,bef,20230609T142719_20230609T142938_T20LNR,10,6.6259999999999994,1,1,1.917,0.6626,0.1917,120,joint,rf,2023-06-26,-12
2023-06-26,evt,20230624T142721_20230624T142715_T20LNR,10,8.540000000000001,10,1,6.843,0.8540000000000001,0.6843,120,joint,rf,2023-06-26,0
2023-07-09,aft,20230709T142719_20230709T142938_T20LNR,10,8.483,10,1,6.887999999999999,0.8483,0.6887999999999999,120,joint,rf,2023-06-26,13
