date,win,s2_id,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-02-14,bef,20230214T142711_20230214T143425_T20LNR,94,58.22599999999999,5,3,5.668000000000001,0.6194255319148936,0.060297872340425544,167,joint,rf,2023-05-15,-90
2023-04-30,bef,20230430T142719_20230430T142714_T20LNR,94,86.126,89,3,66.407,0.9162340425531915,0.7064574468085106,167,joint,rf,2023-05-15,-15
2023-05-15,evt,20230515T142711_20230515T142713_T20LNR,94,87.987,92,3,73.295,0.9360319148936169,0.7797340425531915,167,joint,rf,2023-05-15,0
2023-06-04,aft,20230604T142721_20230604T142716_T20LNR,94,85.62899999999999,89,3,65.185,0.9109468085106383,0.6934574468085106,167,joint,rf,2023-05-15,20
