date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,101,51.717533333333336,16,3,18.80153333333333,0.5120547854785479,0.18615379537953794,128,optical,rf,2023-07-25,-86
2023-05-15,bef,101,53.856950000000005,21,3,20.59095,0.5332371287128713,0.2038707920792079,128,optical,rf,2023-07-25,-71
2023-05-25,bef,101,50.944900000000004,13,3,15.143900000000002,0.5044049504950495,0.14993960396039607,128,optical,rf,2023-07-25,-61
2023-06-09,bef,101,48.41585,17,3,19.87785,0.4793648514851485,0.19681039603960396,128,optical,rf,2023-07-25,-46
2023-06-19,bef,101,48.05948333333333,16,3,18.961483333333334,0.4758364686468647,0.18773745874587458,128,optical,rf,2023-07-25,-36
2023-06-24,bef,101,50.87545,17,3,18.46545,0.5037173267326732,0.18282623762376238,128,optical,rf,2023-07-25,-31
2023-06-29,bef,101,57.09393333333333,34,3,26.462933333333336,0.5652864686468647,0.26200924092409245,128,optical,rf,2023-07-25,-26
2023-07-04,bef,101,60.34808333333333,36,3,29.803083333333333,0.5975057755775577,0.2950800330033003,128,optical,rf,2023-07-25,-21
2023-07-09,bef,101,56.32181666666667,37,3,30.528816666666668,0.5576417491749175,0.3022655115511551,128,optical,rf,2023-07-25,-16
2023-07-14,bef,101,64.04,45,3,32.783,0.6340594059405941,0.3245841584158416,128,optical,rf,2023-07-25,-11
2023-07-24,evt,101,93.5887,92,3,75.2297,0.926620792079208,0.7448485148514851,128,optical,rf,2023-07-25,-1
2023-07-29,evt,101,95.9208,97,3,79.50380000000001,0.9497108910891089,0.7871663366336635,128,optical,rf,2023-07-25,4
2023-08-03,aft,101,95.68742857142858,96,3,76.04342857142858,0.9474002828854315,0.752905233380481,128,optical,rf,2023-07-25,9
2023-08-08,aft,101,96.84308333333334,100,3,80.06808333333333,0.9588424092409241,0.792753300330033,128,optical,rf,2023-07-25,14
2023-08-18,aft,101,96.57325,97,3,76.53325,0.956170792079208,0.7577549504950495,128,optical,rf,2023-07-25,24
