mode,model,tau,confirm_days,polygons,confirmed,confirmed_pct,delay_median,delay_q25,delay_q75,before_view_pct
optical,log_reg,0.842,90,171,129,0.754,-12,-47,1,0.713
joint,log_reg,0.842,90,171,106,0.62,-15,-88,1,0.651
