date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-06-09,bef,79,14.806205096448895,7,3,0.8892955853542521,0.1874203176765683,0.01125690614372471,40,joint,log_reg,2023-11-15,-159
2023-06-24,bef,79,18.690776747974834,8,3,1.2658863719130362,0.23659211073385866,0.01602387812548147,40,joint,log_reg,2023-11-15,-144
2023-07-09,bef,79,17.46255953878396,11,3,0.30566268543961733,0.22104505745296152,0.0038691479169571815,40,joint,log_reg,2023-11-15,-129
2023-07-24,bef,79,17.119175588936614,5,3,0.9489384950590827,0.21669842517641283,0.012011879684292185,40,joint,log_reg,2023-11-15,-114
2023-08-03,bef,79,14.74200785709397,9,3,2.5786319124191657,0.18660769439359456,0.032640910283786906,40,joint,log_reg,2023-11-15,-104
2023-08-18,bef,79,30.908096077417834,22,3,7.284536209874508,0.39124172249895994,0.09220931911233554,40,joint,log_reg,2023-11-15,-89
2023-08-23,bef,79,41.10645551720288,34,3,11.273118421509032,0.5203348799645935,0.14269770153808903,40,joint,log_reg,2023-11-15,-84
2023-09-12,bef,79,63.22236838269392,72,3,26.999629522585536,0.8002831440847332,0.3417674623112093,40,joint,log_reg,2023-11-15,-64
2023-09-27,bef,79,60.01968914502475,58,3,31.815557579954287,0.7597429005699335,0.40272857696144665,40,joint,log_reg,2023-11-15,-49
2023-10-12,bef,79,70.21271600812338,78,3,53.519050870661054,0.8887685570648529,0.67745634013495,40,joint,log_reg,2023-11-15,-34
2023-11-16,evt,79,77.16152435987382,79,3,70.34819923054944,0.976728156454099,0.8904835345639169,40,joint,log_reg,2023-11-15,1
