date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-05-15,bef,21,1.685166765080309,0,3,0.3558051963158193,0.08024603643239567,0.016943104586467587,69,joint,log_reg,2023-09-09,-117
2023-06-09,bef,21,2.224095758412944,1,3,0.5065649767700053,0.10590932182918782,0.024122141750952637,69,joint,log_reg,2023-09-09,-92
2023-06-24,bef,21,2.103982328534202,0,3,0.26944858088435947,0.10018963469210485,0.012830884804017118,69,joint,log_reg,2023-09-09,-77
2023-07-09,bef,21,2.3119970863226134,0,3,0.3315023208787496,0.11009509934869588,0.01578582480374998,69,joint,log_reg,2023-09-09,-62
2023-07-19,bef,21,1.448087319196067,0,3,0.2915201634499807,0.06895653900933653,0.013881912545237176,69,joint,log_reg,2023-09-09,-52
2023-07-29,bef,21,1.7648618146128563,1,3,0.4621308934614704,0.0840410387910884,0.02200623302197478,69,joint,log_reg,2023-09-09,-42
2023-08-28,bef,21,20.785480242838965,21,3,16.95298983398724,0.9897847734685221,0.8072852301898685,69,joint,log_reg,2023-09-09,-12
2023-09-12,evt,21,20.406986257249084,21,3,5.683511585419451,0.9717612503451944,0.27064340882949767,69,joint,log_reg,2023-09-09,3
