date,win,n_tok,p_sum,n_nonforest,n_tiles,pc_sum,p_dist,p_class,fid,mode,model,view_date,days
2023-04-30,bef,37,13.904107887387449,2,2,0.06226052798481204,0.37578669965912026,0.0016827169725624875,61,joint,log_reg,2023-10-19,-172
2023-05-15,bef,37,16.915125770058292,9,2,0.514389247681238,0.4571655613529268,0.013902412099492917,61,joint,log_reg,2023-10-19,-157
2023-06-09,bef,37,23.38886728744119,22,2,0.09507144950615995,0.6321315483092214,0.0025694986353016203,61,joint,log_reg,2023-10-19,-132
2023-06-24,bef,37,26.62883957741898,33,2,0.14009968305584414,0.7196983669572697,0.00378647792042822,61,joint,log_reg,2023-10-19,-117
2023-07-09,bef,37,18.364591629040945,14,2,0.160518820094967,0.4963403142984039,0.004338346489053162,61,joint,log_reg,2023-10-19,-102
2023-07-19,bef,37,18.36624920437241,9,2,0.3442946464296979,0.4963851136316867,0.009305260714316161,61,joint,log_reg,2023-10-19,-92
2023-07-29,bef,37,13.552542198423467,3,2,1.7445186512239395,0.36628492428171533,0.04714915273578215,61,joint,log_reg,2023-10-19,-82
2023-08-18,bef,37,10.555966670664887,2,2,4.007223073563517,0.28529639650445643,0.10830332631252748,61,joint,log_reg,2023-10-19,-62
2023-08-23,bef,37,19.825945301073546,15,2,4.706181084525438,0.5358363594884742,0.12719408336555238,61,joint,log_reg,2023-10-19,-57
2023-10-02,bef,37,22.20179723926094,21,2,13.06057776329617,0.6000485740340795,0.35298858819719375,61,joint,log_reg,2023-10-19,-17
2023-11-11,aft,37,33.32077740847218,37,2,28.7347235537248,0.9005615515803292,0.7766141501006703,61,joint,log_reg,2023-10-19,23
